WS_bin,WS,alpha,RPM,Pgen,QgenLoss,TSR,Pitch,FlapM,EdgeM
3.0,3.2423348965456418,0.3940721767062316,17.20400532645488,4.919032499989793,83.16730237814312,7.6439357162723525,0.9953755500730973,5388.311546802927,2399.6637742261896
3.5,3.7615134758312787,0.3453847123076253,19.055337847011955,6.174417380482275,102.59038193993955,7.260544949800757,0.9954067727684075,6200.427216115399,1676.4722543001037
4.0,4.245770622813317,0.3633052298254666,21.34492719249245,7.915998664066676,121.94666327150088,7.150758216031533,1.0147507156713174,7858.900317075575,2805.4596662165463
4.5,4.75820827143085,0.3722180483944682,24.0344897654223,11.80525311369319,161.71258341200092,7.176770837649371,0.9958784786952072,10531.9143882902,3017.367755558842
5.0,5.244980650954792,0.38075449826540186,26.7684587480777,16.22423112460207,200.84526971657758,7.243440796610965,0.9960938348388219,12738.619265955904,2871.65327877464
5.5,5.751512618249466,0.3504358334919151,29.696587290148457,21.963965083941623,246.70164153841444,7.328856682540607,0.9965528473864768,16033.595909641384,3453.3765272073506
6.0,6.253392701235789,0.32696871196252814,32.3173344064449,28.25502795583659,292.20307521768353,7.33763252962746,0.9978996479561398,18887.97450555008,4043.590662681535
6.5,6.758467959278419,0.30130773024520635,34.913847617449385,35.65020136190057,341.5208831367446,7.337855366403723,0.9970732100567101,22430.683298089607,5027.554114739875
7.0,7.248761310298432,0.29451554466774105,37.77540943268722,45.09095814534359,400.1964024732747,7.402535494995685,1.0316544624801443,25766.754552364884,5676.071961670499
7.5,7.745896896453092,0.28785205063790614,40.279039410804764,55.117285968966556,460.0358604653394,7.3928846662592544,0.9977071216362672,29432.312646388276,6556.800159820275
8.0,8.231977825062435,0.2602020717866987,42.216328091889935,66.72515185307374,532.3590248073527,7.295683160973062,1.0276144016588975,32778.83580908232,6998.783301309628
8.5,8.73920041165061,0.20977246618662182,43.32479545724038,81.83989479231938,638.9514151645787,7.057072960220594,0.9979452960521537,37108.55744972857,7929.615018378201
9.0,9.22712497376414,0.17412444696250734,43.557025787737714,91.65378570275904,712.8901400608861,6.72450270021888,0.9980330854683749,40056.73579794262,8847.614266578628
9.5,9.708653101286904,0.16615899919949503,43.826945276943476,105.79969277533633,820.4906181886878,6.4388729953988175,0.9981933004015169,43292.79833869141,9676.971050976239
10.0,10.203707533164813,0.18675399677907994,43.62660569676444,117.97236340841661,916.0369362898753,6.090502891432023,1.2669526778502829,45592.73087022556,10533.79698478127
10.5,10.835359219296224,0.18759819983811885,42.02745576692128,123.57700916666616,965.8164683333332,5.50719050855731,3.4310893333333383,42708.091433178924,11470.016529544158
11.0,11.263328783096535,0.2337927377179303,38.697030056695304,112.5843534444454,889.8304933333316,4.87130612404095,7.739016333333342,34922.413954682466,10591.588758710626
11.5,11.8470313516936,0.26238384306990803,43.8582036709152,154.73468400000004,1204.84135666667,5.2539854373616,1.00019666666666,48384.5851309142,12632.6612097132
